bin,probability_min,probability_max,count,mean_predicted_probability,actual_fire_rate,model
1,0.1,0.2,1539,0.18956366435896915,0.002599090318388564,rf_baseline
2,0.2,0.3,8296,0.2467876067606061,0.028206364513018323,rf_baseline
3,0.3,0.4,8607,0.3545039874313503,0.06541187405600093,rf_baseline
4,0.4,0.5,6859,0.4496779084497777,0.1182388103222044,rf_baseline
5,0.5,0.6,6456,0.5474498641308138,0.1815365551425031,rf_baseline
6,0.6,0.7,5651,0.6511399865668641,0.3509113431251106,rf_baseline
7,0.7,0.8,3950,0.7486890312529758,0.5458227848101266,rf_baseline
0,0.0,0.1,3629,0.06589432146625207,0.002480022044640397,rf_tuned
1,0.1,0.2,6236,0.15428903296676497,0.019403463758819756,rf_tuned
2,0.2,0.3,7311,0.24508610432082878,0.04253864040486938,rf_tuned
3,0.3,0.4,5779,0.3501824268237575,0.09136528811213013,rf_tuned
4,0.4,0.5,5387,0.4472346212078666,0.16057174679784667,rf_tuned
5,0.5,0.6,4496,0.5482645392593082,0.23910142348754448,rf_tuned
6,0.6,0.7,4188,0.6475412550155063,0.36341929321872013,rf_tuned
7,0.7,0.8,2870,0.7446944280177362,0.5041811846689895,rf_tuned
8,0.8,0.9,1169,0.8330649889662839,0.6963216424294268,rf_tuned
9,0.9,1.0,293,0.9165985062908638,0.78839590443686,rf_tuned
0,0.0,0.1,8888,0.052933571309504435,0.010351035103510351,gbt
1,0.1,0.2,7236,0.14726144272271752,0.03109452736318408,gbt
2,0.2,0.3,4821,0.24677155000225406,0.06492428956647998,gbt
3,0.3,0.4,3742,0.3478621361171967,0.11036878674505612,gbt
4,0.4,0.5,3268,0.4504244494581604,0.18084455324357404,gbt
5,0.5,0.6,3155,0.5475469134101082,0.2120443740095087,gbt
6,0.6,0.7,2941,0.6508549326244888,0.30567834070044203,gbt
7,0.7,0.8,3368,0.7518982685505851,0.4008313539192399,gbt
8,0.8,0.9,2896,0.8450342421932081,0.5538674033149171,gbt
9,0.9,1.0,1043,0.9239695992391098,0.7353787152444871,gbt
