feature,importance
heat_dryness_index,0.10609671938319516
relative_humidity_2m_min,0.07747130809877303
dayofyear_sin,0.06990532816402212
grid_lat_index,0.06248929669872224
ndvi_30d_min,0.054821770797357915
month_sin,0.05053314223407332
grid_lat,0.04904592973022599
humidity_lag_1,0.042756849927896134
wind_dryness_index,0.04068780673900603
ndvi_lag_1,0.028359517066733474
mean_ndvi_30days,0.026982056395519104
temperature_2m_max,0.02680036332259954
precipitation_sum,0.025922466852681857
grid_lon_index,0.025054179373737124
grid_lon,0.02383202476908697
precip_lag_1,0.022143208795956628
ndvi_30d_avg,0.021707549101328917
dayofyear_cos,0.02145211600666539
station_distance_km,0.02085993454092075
humidity_7d_avg,0.01915913148275491
humidity_30d_avg,0.017893232086850307
lat_band,0.01609915737904907
temp_lag_1,0.012719822673212882
month_cos,0.01250302599000719
precipitation_sum_7days,0.011739744777945703
dry_days_count,0.010336244001031912
temp_30d_avg,0.00961029102447261
wind_7d_avg,0.008495697834303895
wind_speed_10m_max,0.008087902873982637
temp_7d_avg,0.007729479704488678
temp_lag_7,0.006626670670867515
temp_30d_std,0.006313061583023927
dry_days_30d,0.006308519196167205
temp_7d_std,0.006173351912535329
vegetation_dryness_index,0.005953924202991487
precip_14d_sum,0.005779715757994618
wind_lag_1,0.005574418823650546
precip_30d_sum,0.005487834268252781
temp_lag_3,0.004882410020448078
dry_days_14d,0.004868673190075834
lon_band,0.003934222356709369
precip_lag_3,0.003695557628746317
precip_lag_7,0.003106342561935492
weather_points_count,0.0
