bin,probability_min,probability_max,count,mean_predicted_probability,actual_fire_rate,model
1,0.1,0.2,685,0.1885574576127809,0.0072992700729927005,rf_baseline
2,0.2,0.3,7699,0.2530219002030894,0.04961683335498117,rf_baseline
3,0.3,0.4,7858,0.34931681371114254,0.13820310511580555,rf_baseline
4,0.4,0.5,7242,0.44735581034334326,0.22424744545705605,rf_baseline
5,0.5,0.6,5599,0.5490929800120489,0.3520271477049473,rf_baseline
6,0.6,0.7,6617,0.6530427848747478,0.4792201904186187,rf_baseline
7,0.7,0.8,5771,0.7540158241933377,0.755155085773696,rf_baseline
0,0.0,0.1,2065,0.07136612601695239,0.008716707021791767,rf_tuned
1,0.1,0.2,5231,0.1522447881684952,0.026954693175301088,rf_tuned
2,0.2,0.3,6283,0.2511663922074033,0.07798822218685342,rf_tuned
3,0.3,0.4,5939,0.34848869053275283,0.14766795756861426,rf_tuned
4,0.4,0.5,5191,0.4489466817037411,0.2718166056636486,rf_tuned
5,0.5,0.6,5207,0.5493039499994417,0.36527751104282696,rf_tuned
6,0.6,0.7,4323,0.6491487469154779,0.4906315058986815,rf_tuned
7,0.7,0.8,3594,0.7466067637124308,0.7045075125208681,rf_tuned
8,0.8,0.9,3144,0.8473639555428815,0.8416030534351145,rf_tuned
9,0.9,1.0,494,0.9228981084229249,0.9291497975708503,rf_tuned
0,0.0,0.1,7191,0.053916011780563634,0.018217215964399944,gbt
1,0.1,0.2,5698,0.14911695501765324,0.06739206739206739,gbt
2,0.2,0.3,4604,0.24810665109327504,0.12576020851433536,gbt
3,0.3,0.4,3800,0.3481994673535361,0.18605263157894736,gbt
4,0.4,0.5,3496,0.4502518357671923,0.27030892448512583,gbt
5,0.5,0.6,3547,0.5486609899919037,0.3467719199323372,gbt
6,0.6,0.7,3225,0.6499489011014628,0.45829457364341086,gbt
7,0.7,0.8,3562,0.7508008334165609,0.5766423357664233,gbt
8,0.8,0.9,3923,0.8522310783141663,0.7468773897527402,gbt
9,0.9,1.0,2425,0.9326781118752132,0.8903092783505154,gbt
