threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,accuracy,specificity,model
0.2,1450,33218,10,6567,0.16506220937539273,0.9984795499467842,0.2832923514947586,0.1943750757667596,0.04182531441098419,rf_baseline
0.25,5819,28849,85,6492,0.18369599049262897,0.9870761745476662,0.30974760246194954,0.2984846648078555,0.16784931348794277,rf_baseline
0.3,9057,25611,238,6339,0.1984037558685446,0.9638132887334651,0.32906792638928545,0.3732816098921081,0.2612495673243337,rf_baseline
0.35,12179,22489,437,6140,0.21446784728771526,0.9335563326744717,0.3488041811054934,0.4441508061583222,0.35130379600784584,rf_baseline
0.4,16325,18343,788,5789,0.23988894414056025,0.8801885358065987,0.37702302256667425,0.5361619590253364,0.47089535017883927,rf_baseline
0.45,19577,15091,1185,5392,0.2632426890592198,0.8198266686939334,0.3985218033998522,0.6053824706024973,0.5646994346371293,rf_baseline
0.5,22595,12073,1627,4950,0.2907830582153557,0.7526227763417972,0.41949152542372886,0.667838525881925,0.6517537787008192,rf_baseline
0.55,25745,8923,2147,4430,0.33176065303677077,0.6735593735745781,0.44455594581033614,0.7316038307673658,0.7426156686281297,rf_baseline
0.6,28578,6090,2820,3757,0.38153752411902103,0.571233084993158,0.45750121773015096,0.7839738150078798,0.8243336794738664,rf_baseline
0.65,31336,3332,3828,2749,0.4520638052951817,0.4179717196290102,0.43434981829672936,0.8264032003879258,0.9038883119880005,rf_baseline
0.7,33328,1340,5018,1559,0.5377716453949638,0.2370381632963357,0.32904178978471926,0.845847981573524,0.9613476404753664,rf_baseline
0.75,34023,645,5632,945,0.5943396226415094,0.14368253002888856,0.2314191257499694,0.8478118559825434,0.9813949463482173,rf_baseline
0.8,34668,0,6577,0,0.0,0.0,0.0,0.8405382470602497,1.0,rf_baseline
0.2,9237,25431,126,6451,0.20233987830123581,0.9808423293294816,0.3354741412933253,0.38036125590980724,0.26644167532018,rf_tuned
0.25,13066,21602,258,6319,0.22631710898606783,0.9607723886270336,0.3663400776856629,0.46999636319553884,0.37688935040959964,rf_tuned
0.3,15587,19081,413,6164,0.24416716181422063,0.9372054128021895,0.3874049399786311,0.5273608922293611,0.4496077073958694,rf_tuned
0.35,18216,16452,639,5938,0.26520768200089323,0.9028432415995135,0.4099837746401077,0.5856224996969329,0.5254413291796469,rf_tuned
0.4,20997,13671,958,5619,0.2912908242612753,0.8543408849019309,0.4344531642633471,0.6453145835858892,0.6056593977154725,rf_tuned
0.45,23952,10716,1405,5172,0.3255287009063444,0.7863767675231869,0.4604495882483864,0.7061219541762638,0.6908965039806161,rf_tuned
0.5,26389,8279,1910,4667,0.36049745095010044,0.7095940398357914,0.47810275060185425,0.7529639956358346,0.761191877235491,rf_tuned
0.55,28564,6104,2477,4100,0.4018032144257154,0.6233845218184583,0.48864787557356537,0.7919505394593284,0.8239298488519672,rf_tuned
0.6,30188,4480,3070,3507,0.43908851884312006,0.5332218336627642,0.4815984619609997,0.8169475087889441,0.8707742009922695,rf_tuned
0.65,31758,2910,3753,2824,0.4925008719916289,0.4293750950281283,0.4587767037608643,0.8384531458358588,0.916060920733818,rf_tuned
0.7,33100,1568,4532,2045,0.5660116246886244,0.31093203588262125,0.40137389597644746,0.8521032852466965,0.9547709703472943,rf_tuned
0.75,33862,806,5121,1456,0.6436781609195402,0.22137752774821348,0.32944903269600634,0.8562977330585525,0.9767508941963771,rf_tuned
0.8,34254,414,5611,966,0.7,0.14687547514064164,0.24280507729043613,0.8539216874772699,0.9880581516095535,rf_tuned
0.2,15223,19445,304,6273,0.24391476786686367,0.9537783183822411,0.38848118903855083,0.5211783246454116,0.4391081112264913,gbt
0.25,17769,16899,458,6119,0.2658354331392823,0.9303633875627185,0.41351579658726134,0.5791732331191659,0.5125475943232952,gbt
0.3,19748,14920,650,5927,0.28430949297261,0.9011707465409762,0.4322491248541424,0.6224996969329616,0.5696319372331834,gbt
0.35,21600,13068,858,5719,0.3044126257518497,0.8695453854340884,0.4509541081848288,0.6623590738271306,0.6230529595015576,gbt
0.4,23190,11478,1080,5497,0.32382916053019145,0.8357913942526988,0.46679687500000006,0.6955267305127895,0.6689165801315334,gbt
0.45,24667,10001,1392,5185,0.3414328987225076,0.7883533525923674,0.476496806506456,0.7237725784943629,0.7115207107418945,gbt
0.5,26057,8611,1684,4893,0.36233708530805686,0.7439562110384674,0.4873263283701011,0.7503939871499575,0.7516153224875967,gbt
0.55,27425,7243,1986,4591,0.3879499746493155,0.6980386194313517,0.49872358915865506,0.7762395441871742,0.7910753432560286,gbt
0.6,28710,5958,2383,4194,0.41312056737588654,0.6376767523186864,0.5014047462490288,0.7977694265971633,0.828141225337487,gbt
0.65,29877,4791,2740,3837,0.44471488178025037,0.583396685418884,0.5047024005261428,0.817408170687356,0.8618033921772239,gbt
0.7,30966,3702,3230,3347,0.47481912327989784,0.5088946328113122,0.49126669602231027,0.831931143168869,0.8932156455520941,gbt
0.75,32091,2577,3725,2852,0.5253269478725364,0.43363235517713244,0.4750957854406131,0.8472057219056855,0.9256663205261336,gbt
0.8,33131,1537,4371,2206,0.5893668180603794,0.3354112817393949,0.42751937984496124,0.8567583949569645,0.9556651667243568,gbt
